"Unable to Place Order!! Payment has been failed","Impossibile elaborare l'ordine. Autorizzazione pagamento non riuscita."
"KlarnaCredit Checkout has been canceled.","La vostra Klarna richiesta di annullamento è stata elaborata correttamente."
"Unable to cancel Klarna Checkout","In questo momento"," è impossibile elaborare di annullamento con Klarna"
"Paypal Checkout has been canceled.","La vostra Paypal richiesta di annullamento è stata elaborata correttamente."
"Unable to cancel Paypal Checkout","In questo momento"," è impossibile elaborare di annullamento con Paypal"
"Make a payment from your new or existing PayPal account.","Effettua un pagamento dal tuo account PayPal (nuovo o già in essere)"
"Tax","Tasse"
"Unable to Place Order","Impossibile elaborare l'ordine"
"Edit","Modifica"
"Unable to process","Impossibile elaborare l'ordine"
"ending in","termina con"
"New Card","Nuova carta"
"Credit Card Number","Numero di carta di credito"
"Month/Year","Mese/Anno"
"Card Security Code","Codice di sicurezza della carta"
"Payment Instructions","Istruzioni per il pagamento"
"Please make your payment now to complete your order.","Effettua il pagamento ora per completare l'ordine." 
"Provide your bank with the following wire transfer instruction:","Fornisci alla tua banca i seguenti dati per il bonifico"
"Amount:","Importo"
"Wire Transfer Reference Number:","Numero di riferimento del bonifico bancario"
"Bank:","Banca"
"Location:","Località"
"Account Holder:","Titolare conto"
"Account Number:","Numero di conto"
"Swift Code:","Swift"
"Expiration Time:","Tempo scadenza"
"Payment Information","Dati per il pagamento"
"Place Your Order","Effettua ordine"
"Saved Cards","Conti di carta di credito salvati"
"Expiration Date:","Data scadenza"
"Save this card for future use","Salva questo account e le informazioni di pagamento per acquisti futuri"
"Card Name:","Nome della carta di credito"
"There is an issue with Refund at DR side","L'operazione di  rimborso non può essere completato da Digital River"
"Error! Please check your address and try again.","Errore! Verifica il tuo indirizzo e riprova."
"Failed to get Source! Please try again.","Impossibile recuperare source. Per favore riprova."
"Cart Subtotal Excl. Tax","Cart Subtotal Excl. Tax"
"Cart Subtotal Incl. Tax","Cart Subtotal Incl. Tax"
"Shipping Excl. Tax","Shipping Excl. Tax"
"Shipping Incl. Tax","Shipping Incl. Tax"
"Order Total Incl. Tax","Order Total Incl. Tax"
"Order Total Excl. Tax","Order Total Excl. Tax"
"Order Total","Order Total"
"Excl. Tax","Excl. Tax"
"Incl. Tax","Incl. Tax"
"Discount (%1)","Discount (%1)"
"Order Summary","Order Summary"
"You will be charged for","You will be charged for"
"Item in Cart","Item in Cart"
"Items in Cart","Items in Cart"
"Ship To:","Ship To:"
"Shipping Method:","Shipping Method:"
"View Details","View Details"
"Review","Review"
"Subtotal","Subtotal"
"Shipping","Shipping"
